town,flat_type,avg_resale_price,median_resale_price,total_transactions,avg_floor_area,avg_remaining_lease,avg_mrt_distance,avg_cbd_distance
KALLANG/WHAMPOA,4 ROOM,395701.52938736,340000.0,7231,93.64154335499931,80.15032498962799,487.14604418405696,4240.587129119662
KALLANG/WHAMPOA,5 ROOM,508239.7297921478,455000.0,3897,121.18604054400821,80.26610212984347,495.9171427526429,4402.477987629149
KALLANG/WHAMPOA,EXECUTIVE,552409.1016042781,518000.0,561,147.91800356506238,80.67736185383244,702.1629089672133,4742.3848229923215
LIM CHU KANG,3 ROOM,59726.086956521736,64250.0,46,62.71739130434783,84.19565217391305,5471.18280593651,22405.555056502148
LIM CHU KANG,4 ROOM,73716.66666666667,47100.0,18,83.61111111111111,85.77777777777777,5471.18280593651,22405.555056502148
MARINE PARADE,2 ROOM,238400.0,239000.0,10,42.3,59.0,1821.6549638118217,7391.485528711436
MARINE PARADE,3 ROOM,239932.81155840948,218000.0,4049,67.76092862435169,70.97851321313905,1875.4144081782563,7249.555290541956
MARINE PARADE,4 ROOM,337498.4299312533,305000.0,1891,85.89106292966684,70.94553146483342,1895.6713672120604,7065.999398235267
MARINE PARADE,5 ROOM,533495.2476683938,495000.0,1930,121.73160621761659,70.73678756476684,1909.8702160983385,7231.978920514333
PASIR RIS,2 ROOM,240145.45454545456,258000.0,55,50.8,90.41818181818182,636.1442723369522,14641.486747274623
PASIR RIS,3 ROOM,287344.82857142854,285000.0,245,66.68163265306123,77.11428571428571,2423.6037941204536,17566.507147433058
PASIR RIS,4 ROOM,324010.070085739,294000.0,12713,105.29812003461024,86.39203964445842,1066.8372566033547,14897.74483749382
PASIR RIS,5 ROOM,400591.17299980903,378000.0,10474,125.86939087263701,87.18646171472217,1138.2407162611942,14786.237871749363
PASIR RIS,EXECUTIVE,511593.5686318131,490000.0,8990,147.2888765294772,86.88487208008898,1048.6788662724953,15018.272591509278
PUNGGOL,2 ROOM,275836.8230769231,265000.0,260,46.36923076923077,93.28461538461538,1282.7600671969021,14501.639051786497
PUNGGOL,3 ROOM,388251.1671232877,380000.0,1095,67.74794520547945,93.7296803652968,1344.2059649038456,14606.143138837597
PUNGGOL,4 ROOM,462278.9156427221,468000.0,8464,92.21833648393195,92.18714555765595,1455.912372793295,14504.191754164085
PUNGGOL,5 ROOM,488428.0430080163,465000.0,7859,111.11121007761801,90.08232599567376,1593.51542335571,14290.570996308556
