year,town,avg_resale_price,median_resale_price,total_transactions,avg_floor_area,avg_remaining_lease,avg_mrt_distance,avg_cbd_distance
2006,GEYLANG,200015.03184713377,169000.0,785,77.8891719745223,71.03949044585987,437.6710527001421,6162.092539186366
2006,HOUGANG,231128.83607681756,226750.0,1458,100.01440329218107,81.96776406035666,846.1879013249564,10386.504124336467
2006,JURONG EAST,228912.32857142857,217750.0,700,98.07,79.38142857142857,838.2426934945587,13855.404201865036
2006,JURONG WEST,222455.07884005437,223000.0,2207,98.44902582691437,84.49342999546896,754.9771559409869,17358.936710693644
2006,KALLANG/WHAMPOA,234230.9533417402,195000.0,793,84.6860025220681,73.35435056746532,483.3927883078434,4359.944150998947
2006,MARINE PARADE,299293.06113537116,272000.0,229,89.19650655021834,68.41484716157206,1883.9700327975092,7216.372245232307
2006,PASIR RIS,284866.75243243243,277000.0,925,122.79135135135135,85.90702702702703,1124.7278180353587,14887.89226894716
2006,PUNGGOL,284892.61363636365,292500.0,220,103.45,96.00454545454545,1529.7048759293275,14110.844451605015
2006,QUEENSTOWN,215995.4398148148,173250.0,864,72.27199074074075,68.5011574074074,470.0276390826736,6417.321391171244
2006,SEMBAWANG,259254.81969309464,257000.0,782,105.76342710997443,93.54475703324808,462.8901263196016,18802.79810763183
2006,SENGKANG,264652.3444537114,260000.0,1199,103.8115095913261,93.80733944954129,775.0513616622204,12961.878767620192
2006,SERANGOON,240275.37575757576,229500.0,660,98.2469696969697,80.83030303030303,1072.8779887985293,8898.431901320117
2006,TAMPINES,256806.76326129667,253000.0,2036,104.29764243614932,81.70039292730844,683.2303559440875,13248.909399332235
2006,TOA PAYOH,239508.32168550874,195000.0,973,83.81603288797534,72.775950668037,651.4598994912568,6000.527638582643
2006,WOODLANDS,237993.2241063245,230000.0,2182,107.42392300641613,87.7186067827681,593.6989087168789,18428.824128543616
2006,YISHUN,195898.4233370913,177000.0,1774,91.4543404735062,79.67587373167981,696.109434221399,16107.36530397888
2007,ANG MO KIO,235644.0764525994,200000.0,1308,82.26529051987768,73.39373088685015,609.9525308536591,9777.937379029032
2007,BEDOK,239590.54981549815,208000.0,1626,89.1549815498155,74.69249692496925,742.9277659029747,10020.531376587342
2007,BISHAN,349261.1318493151,348000.0,584,107.54623287671232,80.35445205479452,678.12456427521,7797.1870038273255
2007,BUKIT BATOK,239735.67406749557,209000.0,1126,93.0728241563055,79.96802841918294,634.1697415397987,13651.302753590988
2007,BUKIT MERAH,321626.47102803737,308000.0,1070,86.00373831775701,77.44766355140187,653.6278388273809,3325.808490353614
2007,BUKIT PANJANG,254238.80671414037,250000.0,983,105.33774160732452,88.33367243133266,979.3843404350823,14415.394661181352
2007,BUKIT TIMAH,387462.0983606557,340000.0,61,112.18032786885246,75.78688524590164,368.10463548983637,9163.017343926622
2007,CENTRAL AREA,284789.83720930235,260000.0,172,73.84883720930233,72.46511627906976,285.94290528357027,1799.865230932953
2007,CHOA CHU KANG,263057.30144927534,257000.0,1380,111.40942028985508,87.5731884057971,670.6971019461412,16598.702879661098
2007,CLEMENTI,256878.18508655127,228000.0,751,82.79760319573901,73.73901464713715,755.1371700530952,10113.564675486195
2007,GEYLANG,228097.79290780143,193000.0,705,81.04397163120568,70.67375886524823,439.99546264596603,6140.520352074829
2007,HOUGANG,261107.67430207587,250000.0,1397,102.6420901932713,81.71939871152469,853.0755748745928,10408.951211622809
2007,JURONG EAST,244873.94070080863,221500.0,742,96.6455525606469,78.78975741239893,875.7445562657564,13782.442243437948
2007,JURONG WEST,233661.74480425325,230000.0,2069,99.15514741420976,83.16916384726922,774.4288971321006,17354.511611208127
2007,KALLANG/WHAMPOA,268799.09007832897,240500.0,766,85.12532637075718,73.00652741514361,510.45194624690805,4414.787952031897
2007,MARINE PARADE,339114.4935064935,301000.0,231,87.35497835497836,67.4069264069264,1898.5483123339197,7180.377809467226
2007,PASIR RIS,314824.416,300000.0,875,125.82285714285715,85.248,1142.223106236132,14842.412145393357
2007,PUNGGOL,299324.9431664411,301000.0,739,103.77266576454669,95.08660351826794,1588.8764788267829,14106.205712364093
2007,QUEENSTOWN,261662.87005649717,202000.0,885,73.73898305084745,68.46666666666667,474.25358250573544,6352.500878299142
2007,SEMBAWANG,278071.673553719,275000.0,726,107.2892561983471,92.8374655647383,508.6784060826345,18876.725048384833
2007,SENGKANG,289807.13333333336,287000.0,1380,106.3231884057971,92.95507246376812,842.8091498898992,12999.49429253182
2007,SERANGOON,267361.8467874794,250000.0,607,101.07907742998353,79.97858319604613,1133.4755453480407,8987.464604240191
2007,TAMPINES,283109.4837486457,275000.0,1846,106.89815817984832,80.93986998916576,688.9326870357668,13265.880191359685
2007,TOA PAYOH,269076.8178694158,218000.0,873,83.60710194730814,72.09851088201604,644.2242252356996,5981.830210831712
2007,WOODLANDS,251364.90343434343,250000.0,2475,108.53737373737374,87.39878787878789,614.2645567760575,18457.88116894917
2007,YISHUN,209019.1264797508,190000.0,1605,92.97507788161994,78.66666666666667,716.4028405729338,16136.088484822403
2008,ANG MO KIO,288730.76705370104,255500.0,1378,82.30406386066764,72.15384615384616,608.1529310086532,9781.930781248182
2008,BEDOK,289448.65137614676,257500.0,1526,88.49410222804718,73.54259501965925,740.5353442090855,10023.840972542186
2008,BISHAN,420411.1777408638,411000.0,602,106.44186046511628,80.01495016611295,702.3770190577493,7828.1658533239715
2008,BUKIT BATOK,303851.65440613026,285000.0,1305,92.77931034482759,80.99770114942528,645.729547028763,13692.4735539843
2008,BUKIT MERAH,378632.55617455894,355000.0,1077,84.73351903435469,75.54410399257196,662.3564361443775,3362.6121828074124
2008,BUKIT PANJANG,303595.262345679,300000.0,972,103.50925925925925,87.7582304526749,939.4734482583602,14479.605239091929
2008,BUKIT TIMAH,472778.5168539326,436000.0,89,108.47191011235955,73.57303370786516,323.24204568482213,8794.536918634234
2008,CENTRAL AREA,325638.0206185567,313000.0,194,71.42268041237114,70.30412371134021,277.841148849044,1751.4368173327039
2008,CHOA CHU KANG,316447.42277070065,310000.0,1256,111.76512738853503,87.03105095541402,675.9010362651746,16649.207643317382
2008,CLEMENTI,317409.4283646889,280000.0,691,84.61794500723589,71.9739507959479,773.8015238959827,10105.376284427535
2008,GEYLANG,277113.39970930235,237400.0,688,80.2936046511628,69.55959302325581,415.12633487726583,6203.630010100749
2008,HOUGANG,310360.6096401901,302000.0,1473,101.45078071961983,81.14867617107943,886.0472749125148,10509.44136451931
