Year,Planning Area,Age Range,Value
2015,Jurong East,25-59,45540
2015,Jurong East,60+,17040
2015,Jurong West,0-24,83290
2015,Jurong West,25-59,150410
2015,Jurong West,60+,38990
2015,Kallang,0-24,23150
2015,Kallang,25-59,53690
2015,Kallang,60+,24410
2015,Lim Chu Kang,0-24,0
2015,Lim Chu Kang,25-59,0
2015,Lim Chu Kang,60+,0
2015,Mandai,0-24,680
2015,Mandai,25-59,1120
2015,Mandai,60+,310
2015,Marina East,0-24,0
2015,Marina East,25-59,0
2015,Marina East,60+,0
2015,Marina South,0-24,0
2015,Marina South,25-59,0
2015,Marina South,60+,0
2015,Marine Parade,0-24,12870
2015,Marine Parade,25-59,24820
2015,Marine Parade,60+,11080
2015,Museum,0-24,80
2015,Museum,25-59,260
2015,Museum,60+,50
2015,Newton,0-24,1780
2015,Newton,25-59,3790
2015,Newton,60+,1370
2015,North-Eastern Islands,0-24,0
2015,North-Eastern Islands,25-59,0
2015,North-Eastern Islands,60+,0
2015,Novena,0-24,12660
2015,Novena,25-59,25150
2015,Novena,60+,10200
2015,Orchard,0-24,190
2015,Orchard,25-59,530
2015,Orchard,60+,210
2015,Outram,0-24,4650
2015,Outram,25-59,11430
2015,Outram,60+,6000
2015,Pasir Ris,0-24,47610
2015,Pasir Ris,25-59,74020
2015,Pasir Ris,60+,18230
2015,Paya Lebar,0-24,0
2015,Paya Lebar,25-59,0
2015,Paya Lebar,60+,0
2015,Pioneer,0-24,0
2015,Pioneer,25-59,0
2015,Pioneer,60+,0
2015,Punggol,0-24,35790
2015,Punggol,25-59,63220
2015,Punggol,60+,10760
2015,Queenstown,0-24,23370
2015,Queenstown,25-59,50810
2015,Queenstown,60+,23890
2015,River Valley,0-24,2350
2015,River Valley,25-59,5240
2015,River Valley,60+,1650
2015,Rochor,0-24,3010
2015,Rochor,25-59,7780
2015,Rochor,60+,3850
2015,Seletar,0-24,80
2015,Seletar,25-59,160
2015,Seletar,60+,20
2015,Sembawang,0-24,24550
2015,Sembawang,25-59,43030
2015,Sembawang,60+,8970
2015,Sengkang,0-24,65850
2015,Sengkang,25-59,116780
2015,Sengkang,60+,24100
2015,Serangoon,0-24,32250
2015,Serangoon,25-59,62170
2015,Serangoon,60+,26260
2015,Simpang,0-24,0
2015,Simpang,25-59,0
2015,Simpang,60+,0
2015,Singapore River,0-24,670
2015,Singapore River,25-59,1730
2015,Singapore River,60+,330
2015,Southern Islands,0-24,430
2015,Southern Islands,25-59,900
2015,Southern Islands,60+,150
2015,Straits View,0-24,0
2015,Straits View,25-59,0
2015,Straits View,60+,0
2015,Sungei Kadut,0-24,190
2015,Sungei Kadut,25-59,390
2015,Sungei Kadut,60+,270
2015,Tampines,0-24,76860
2015,Tampines,25-59,140690
2015,Tampines,60+,43710
2015,Tanglin,0-24,5320
2015,Tanglin,25-59,10190
2015,Tanglin,60+,3520
2015,Tengah,0-24,0
2015,Tengah,25-59,0
2015,Tengah,60+,0
2015,Toa Payoh,0-24,30250
2015,Toa Payoh,25-59,64300
2015,Toa Payoh,60+,30410
2015,Tuas,0-24,0
2015,Tuas,25-59,0
2015,Tuas,60+,0
2015,Western Islands,0-24,0
2015,Western Islands,25-59,0
2015,Western Islands,60+,0
2015,Western Water Catchment,0-24,320
2015,Western Water Catchment,25-59,500
2015,Western Water Catchment,60+,100
2015,Woodlands,0-24,84480
2015,Woodlands,25-59,136280
2015,Woodlands,60+,29570
