Year,Region,Gender,Category,Attribute,Value
1/1/2020,EAST REGION,,language_literate,l2_eng_chi,262888
1/1/2010,EAST REGION,,language_literate,l3_eng_chi_mal,15411
1/1/2000,NORTH-EAST REGION,,income_from_work,sgd_5000_to_5999,12058
1/1/2000,CENTRAL REGION,,mode_of_transport_school,mrt,3185
1/1/2020,NORTH REGION,,mode_of_transport_work,mrt_bus,0
1/1/2010,CENTRAL REGION,male,age_group,age_0_4,21650
1/1/2020,NORTH REGION,,education_attending,polytechnic,13049
1/1/2000,CENTRAL REGION,,mode_of_transport_school,no_transport_required,36165
1/1/2020,NORTH REGION,,religion,other_christians,38816
1/1/2015,WEST REGION,,household_structure,ofn_2_gen,165700
1/1/2015,EAST REGION,,income_from_work,sgd_15000_over,0
1/1/2015,WEST REGION,,household_income,sgd_6000_to_6999,17600
1/1/2020,NORTH REGION,,household_income,sgd_13000_to_13999,6562
1/1/2000,NORTH REGION,female,age_group,age_80_84,930
1/1/2020,WEST REGION,,mode_of_transport_school,others,1029
1/1/2015,NORTH REGION,,mode_of_transport_school,mrt_lrt_only,0
1/1/2000,CENTRAL REGION,,language_spoken_at_home,eng_tml,0
1/1/2015,EAST REGION,,mode_of_transport_work,other_combi_mrt_or_bus,16500
1/1/2000,NORTH REGION,male,age_group,age_15_19,14120
1/1/2000,NORTH REGION,,education_attending,university,2541
1/1/2000,NORTH-EAST REGION,,mode_of_transport_school,mrt_car,81
1/1/2015,NORTH-EAST REGION,,language_literate,l1_non_off,700
1/1/2010,NORTH-EAST REGION,,household_income,sgd_8000_to_8999,12158
1/1/2020,NORTH REGION,,income_from_work,sgd_9000_to_9999,10438
1/1/2010,NORTH-EAST REGION,,household_structure,ofn_2_gen,134523
1/1/2010,EAST REGION,,mode_of_transport_work,pvt_chartered_bus,10253
1/1/2010,EAST REGION,,household_size,person3,39492
1/1/2000,EAST REGION,male,age_group,age_55_59,10730
1/1/2015,EAST REGION,,language_literate,l3_eng_chi_mal,
1/1/2010,WEST REGION,,household_structure,ofn_2_gen,160425
1/1/2020,NORTH REGION,,industry,arts_entertainment_recreation,5276
1/1/2015,NORTH REGION,,language_spoken_at_home,malay,73200
1/1/2015,NORTH REGION,male,age_group,age_65_69,8980
1/1/2010,WEST REGION,,household_structure,tfn_1to2_gen,4715
1/1/2010,NORTH REGION,male,ethnic_distribution,malays,51768
1/1/2000,NORTH REGION,male,economic_status,unemployed,6952
1/1/2015,NORTH-EAST REGION,,language_spoken_at_home,eng_oth_lang,0
1/1/2010,NORTH-EAST REGION,,dwelling_type_household,hdb_5_room_and_executive_flats,65502
1/1/2020,EAST REGION,female,age_group,age_50_54,27550
1/1/2015,WEST REGION,,income_from_work,sgd_12000_over,37200
1/1/2010,NORTH REGION,,language_spoken_at_home,eng_mand,0
1/1/2000,CENTRAL REGION,,income_from_work,,
1/1/2000,EAST REGION,,dwelling_type_population,hdb_3_room_flats,111400
1/1/2020,NORTH REGION,,mode_of_transport_school,pvt_chartered_bus,0
1/1/2020,NORTH-EAST REGION,,language_literate,l2_eng_chi,397299
1/1/2010,NORTH REGION,male,marital_status,single,67610
1/1/2020,EAST REGION,,household_income,sgd_10000_to_10999,9468
1/1/2010,EAST REGION,male,age_group,age_30_34,23720
1/1/2000,EAST REGION,,education_attending,pre_primary,15686
1/1/2020,NORTH-EAST REGION,,household_structure,no_family_nucleus,58831
1/1/2000,NORTH REGION,,language_spoken_at_home,chn_dlt_eng,0
1/1/2010,CENTRAL REGION,female,marital_status,divorced,20317
1/1/2020,WEST REGION,,dwelling_type_population,hdb_5_room_and_executive_flats,295180
1/1/2010,EAST REGION,,language_spoken_at_home,tml_oth_lang,0
1/1/2015,CENTRAL REGION,,income_from_work,sgd_9000_to_9999,14200
1/1/2000,WEST REGION,,household_income,sgd_2000_to_2999,30407
1/1/2015,CENTRAL REGION,,dwelling_type_population,hdb_5_room_and_executive_flats,148140
1/1/2000,WEST REGION,,language_spoken_at_home,chn_dlt_mand,0
1/1/2020,CENTRAL REGION,female,age_group,age_70_74,26950
1/1/2010,CENTRAL REGION,male,economic_status,employed,252487
1/1/2000,WEST REGION,male,age_group,age_45_49,30310
1/1/2000,CENTRAL REGION,,household_size,person6,17236
1/1/2000,WEST REGION,,income_from_work,sgd_4000_to_4999,28614
1/1/2010,EAST REGION,,language_spoken_at_home,tamil,10765
1/1/2000,NORTH-EAST REGION,,household_structure,ofn_2_gen,103867
1/1/2000,EAST REGION,,household_income,sgd_10000_to_10999,
1/1/2020,EAST REGION,,education_attending,pre_primary,8263
1/1/2000,EAST REGION,,mode_of_transport_work,pvt_chartered_bus,13711
1/1/2010,CENTRAL REGION,,dwelling_type_household,hdb_5_room_and_executive_flats,41008
1/1/2020,NORTH REGION,,language_spoken_at_home,chn_dlt_eng,4540
1/1/2000,NORTH-EAST REGION,,dwelling_type_household,hdb_1_and_2_room_flats,5198
1/1/2020,EAST REGION,,dwelling_type_population,hdb_3_room_flats,90300
1/1/2000,EAST REGION,,language_literate,l2_eng_mal,81901
1/1/2015,EAST REGION,,industry,real_estate_services,10200
1/1/2015,NORTH REGION,,income_from_work,,
1/1/2015,WEST REGION,,dwelling_type_population,condominiums_and_other_apartments,88910
1/1/2020,NORTH-EAST REGION,,household_income,sgd_10000_over,0
1/1/2015,NORTH-EAST REGION,,education_attending,prof_qualification_diploma,1700
1/1/2010,NORTH REGION,,household_income,sgd_11000_to_11999,
1/1/2015,WEST REGION,,language_spoken_at_home,eng_oth_lang,0
1/1/2020,WEST REGION,,language_spoken_at_home,malay,23555
1/1/2015,WEST REGION,,household_income,no_working_person,21600
1/1/2000,EAST REGION,,household_structure,ofn_1_gen,17088
1/1/2020,NORTH-EAST REGION,male,ethnic_distribution,indian,38360
1/1/2010,EAST REGION,,mode_of_transport_work,bus,69889
1/1/2015,CENTRAL REGION,,dwelling_type_household,others,2200
1/1/2010,CENTRAL REGION,,household_income,sgd_9000_to_9999,10270
1/1/2010,CENTRAL REGION,,language_spoken_at_home,mly_eng,0
1/1/2000,WEST REGION,,household_size,person7,5636
1/1/2020,NORTH REGION,,tenancy,others,1582
1/1/2015,WEST REGION,,tenancy,others,1200
1/1/2015,WEST REGION,,language_spoken_at_home,mand_chn_dlt,0
1/1/2000,CENTRAL REGION,,tenancy,,
1/1/2000,NORTH REGION,female,age_group,age_45_49,13480
1/1/2020,NORTH-EAST REGION,,language_literate,l2_other_two,1457
1/1/2020,EAST REGION,male,economic_status,inactive,73912
1/1/2020,NORTH-EAST REGION,,income_from_work,sgd_11000_to_11999,12914
1/1/2010,EAST REGION,male,marital_status,widowed,4245
1/1/2015,NORTH-EAST REGION,,dwelling_type_population,hdb_1_and_2_room_flats,28060
1/1/2015,WEST REGION,,mode_of_transport_work,car,107200
1/1/2015,NORTH-EAST REGION,,dwelling_type_household,others,700
1/1/2020,NORTH REGION,,income_from_work,sgd_5000_to_5999,30230
1/1/2000,CENTRAL REGION,,income_from_work,sgd_1000_to_1999,0
1/1/2010,NORTH REGION,,language_spoken_at_home,chn_dlt_oth_lang,0
1/1/2015,WEST REGION,male,marital_status,divorced,8700
1/1/2015,EAST REGION,male,age_group,age_10_14,19230
1/1/2020,NORTH REGION,,household_income,sgd_3000_to_3999,12067
1/1/2015,EAST REGION,,income_from_work,sgd_2000_to_2499,27100
1/1/2000,CENTRAL REGION,,household_income,sgd_7000_to_7999,11932
1/1/2020,NORTH REGION,female,age_group,age_25_29,22790
1/1/2000,WEST REGION,,religion,sikhism,2077
1/1/2015,WEST REGION,male,ethnic_distribution,indian,43770
1/1/2010,NORTH REGION,,tenancy,tenant,11092
1/1/2000,NORTH-EAST REGION,male,age_group,age_65_69,6940
1/1/2000,NORTH-EAST REGION,,household_size,person2,24365
